date,label,broad_label,source,subtype,value,YoY_change_absolute_1m,Unit
2023-09-30,Solar,Solar & wind,Solar,NA,573.188,153.57920000000001,100 million kwh
2023-09-30,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,177.40853200009178,18.849963142973564,100 million kwh
2023-09-30,Coal,Coal & gas,Thermal,Coal,4575.212570184201,54.15021190198513,100 million kwh
2023-09-30,Gas,Coal & gas,Thermal,Gas,254.74589781570626,67.56682495503657,100 million kwh
2023-09-30,Wind,Solar & wind,Wind,NA,508.2667,-34.098499999999945,100 million kwh
2023-09-30,Hydro,"Hydro, nuclear & biomass",Hydro,NA,1396.4802,406.3802000000014,100 million kwh
2023-09-30,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,345.30970000000025,21.809700000000248,100 million kwh
2023-10-31,Solar,Solar & wind,Solar,NA,534.0317419354839,149.60632258064516,100 million kwh
2023-10-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,178.9619397389164,6.792329478665948,100 million kwh
2023-10-31,Coal,Coal & gas,Thermal,Coal,4287.1607260015935,173.11922218729433,100 million kwh
2023-10-31,Gas,Coal & gas,Thermal,Gas,214.07733425948712,5.888448334035104,100 million kwh
2023-10-31,Wind,Solar & wind,Wind,NA,590.3612903225805,-89.25861290322598,100 million kwh
2023-10-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,1221,228,100 million kwh
2023-10-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,359.4000000000001,-1,100 million kwh
2023-11-30,Solar,Solar & wind,Solar,NA,546.4676,219.08999999999997,100 million kwh
2023-11-30,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,172.14558165665102,13.681281017792884,100 million kwh
2023-11-30,Coal,Coal & gas,Thermal,Coal,4673.488871920328,313.4414681971475,100 million kwh
2023-11-30,Gas,Coal & gas,Thermal,Gas,255.26554642302187,8.67725078506163,100 million kwh
2023-11-30,Wind,Solar & wind,Wind,NA,879.3279,208.99429999999995,100 million kwh
2023-11-30,Hydro,"Hydro, nuclear & biomass",Hydro,NA,831.1000000000004,48.69999999999891,100 million kwh
2023-11-30,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,364.6999999999998,-8.900000000000091,100 million kwh
2023-12-31,Solar,Solar & wind,Solar,NA,401.08374193548383,108.5259677419354,100 million kwh
2023-12-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,181.66160430710036,19.658481935845288,100 million kwh
2023-12-31,Coal,Coal & gas,Thermal,Coal,5688.731794907591,538.9939138359068,100 million kwh
2023-12-31,Gas,Coal & gas,Thermal,Gas,269.6454007853103,3.0864042282470905,100 million kwh
2023-12-31,Wind,Solar & wind,Wind,NA,837.1223225806451,83.84438709677408,100 million kwh
2023-12-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,772.8598999999995,35.0599000000002,100 million kwh
2023-12-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,380.5554000000002,-16.8445999999999,100 million kwh
2024-01-31,Solar,Solar & wind,Solar,NA,511.58018709677424,156.3768869327502,100 million kwh
2024-01-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,179.32104194428365,14.655132298992697,100 million kwh
2024-01-31,Coal,Coal & gas,Thermal,Coal,4959.789475128009,463.8809918769384,100 million kwh
2024-01-31,Gas,Coal & gas,Thermal,Gas,261.8394829277074,44.10512582406932,100 million kwh
2024-01-31,Wind,Solar & wind,Wind,NA,804.9493411290324,89.9444165800985,100 million kwh
2024-01-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,694.8,11.464549999999917,100 million kwh
2024-01-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,345.55,11.780200000000036,100 million kwh
2024-02-29,Solar,Solar & wind,Solar,NA,562.9853793103449,160.2713793103449,100 million kwh
2024-02-29,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,168.90052912750835,18.887375998208967,100 million kwh
2024-02-29,Coal,Coal & gas,Thermal,Coal,4969.351780731083,459.0671932424402,100 million kwh
2024-02-29,Gas,Coal & gas,Thermal,Gas,262.697690141409,44.686680759350196,100 million kwh
2024-02-29,Wind,Solar & wind,Wind,NA,868.8649137931035,71.31887807881776,100 million kwh
2024-02-29,Hydro,"Hydro, nuclear & biomass",Hydro,NA,694.8,11.464549999999917,100 million kwh
2024-02-29,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,345.55,11.780200000000036,100 million kwh
2024-03-31,Solar,Solar & wind,Solar,NA,709.0214516129031,210.31799999999987,100 million kwh
2024-03-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,183.31479731841597,5.804803271165554,100 million kwh
2024-03-31,Coal,Coal & gas,Thermal,Coal,4790.3742659918935,7.966513022463005,100 million kwh
2024-03-31,Gas,Coal & gas,Thermal,Gas,252.4109366896907,18.019383706373077,100 million kwh
2024-03-31,Wind,Solar & wind,Wind,NA,985.4585806451613,207.33387096774197,100 million kwh
2024-03-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,712.0999999999999,43.70759999999996,100 million kwh
2024-03-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,348.1,-17.609300000000076,100 million kwh
