Source,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
Update,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-09-27,2024-09-27,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-09-27,2024-09-27,2024-09-27,2024-09-27
2020-11,"1,079.00 ","3,934.00 ",112.00 ,"2,462.00 ","2,590.00 ","2,724.00 ",620.00 ,"212,072.00 ","36,773.00 ","123,481.00 ","4,989.00 ","23,626.00 ","33,654.00 ","107,240.00 ","9,751.00 ","23,173.00 "
2020-12,"1,313.00 ","5,660.00 ",112.00 ,"7,211.00 ","4,820.00 ","4,030.00 ",824.00 ,"220,058.00 ","37,016.00 ","124,517.00 ","4,989.00 ","28,153.00 ",0.00 ,"107,992.00 ","9,802.00 ","25,343.00 "
2021-02,85.00 ,668.00 ,115.00 ,357.00 ,325.00 ,363.00 ,80.00 ,"221,957.00 ","37,026.00 ","125,602.00 ","5,104.00 ","28,456.00 ","33,847.00 ","108,402.00 ","10,204.00 ","25,737.00 "
2021-03,109.00 ,"1,060.00 ",115.00 ,526.00 ,533.00 ,477.00 ,295.00 ,"222,850.00 ","37,132.00 ","126,000.00 ","5,104.00 ","28,661.00 ","33,953.00 ","108,527.00 ","10,420.00 ","25,913.00 "
2021-04,152.00 ,"1,328.00 ",115.00 ,660.00 ,708.00 ,659.00 ,299.00 ,"223,483.00 ","37,330.00 ","126,161.00 ","5,104.00 ","28,744.00 ","34,151.00 ","108,474.00 ","10,528.00 ","26,097.00 "
2021-05,367.00 ,"1,484.00 ",115.00 ,779.00 ,991.00 ,704.00 ,345.00 ,"224,132.00 ","37,382.00 ","126,389.00 ","5,104.00 ","28,852.00 ","34,167.00 ","108,603.00 ","10,574.00 ","26,358.00 "
2021-06,812.00 ,"1,757.00 ",227.00 ,"1,084.00 ","1,301.00 ",933.00 ,349.00 ,"225,660.00 ","37,785.00 ","126,658.00 ","5,216.00 ","29,192.00 ","34,571.00 ","108,801.00 ","10,588.00 ","26,761.00 "
2021-07,"1,173.00 ","2,247.00 ",340.00 ,"1,257.00 ","1,794.00 ","1,262.00 ",362.00 ,"227,206.00 ","38,143.00 ","127,263.00 ","5,326.00 ","29,310.00 ","34,894.00 ","109,201.00 ","10,638.00 ","27,110.00 "
2021-08,"1,273.00 ","2,894.00 ",340.00 ,"1,463.00 ","2,205.00 ","1,670.00 ",519.00 ,"228,254.00 ","38,213.00 ","127,611.00 ","5,326.00 ","29,532.00 ","34,964.00 ","109,487.00 ","10,656.00 ","27,505.00 "
2021-09,"1,436.00 ","3,246.00 ",340.00 ,"1,643.00 ","2,556.00 ","1,902.00 ",519.00 ,"229,483.00 ","38,353.00 ","128,183.00 ","5,326.00 ","29,727.00 ","35,034.00 ","109,970.00 ","10,657.00 ","27,835.00 "
2021-10,"1,682.00 ","3,651.00 ",340.00 ,"1,919.00 ","2,931.00 ","2,188.00 ",568.00 ,"230,304.00 ","38,452.00 ","128,289.00 ","5,326.00 ","29,963.00 ","35,073.00 ","109,981.00 ","10,701.00 ","28,214.00 "
2021-11,"1,938.00 ","3,993.00 ",340.00 ,"2,470.00 ","3,483.00 ","2,436.00 ",578.00 ,"232,100.00 ","38,798.00 ","128,681.00 ","5,326.00 ","30,486.00 ","35,384.00 ","110,286.00 ","10,704.00 ","28,747.00 "
2021-12,"2,349.00 ","4,628.00 ",340.00 ,"4,757.00 ","5,493.00 ","2,805.00 ",639.00 ,"237,692.00 ","39,092.00 ","129,678.00 ","5,326.00 ","32,848.00 ",0.00 ,"110,901.00 ","10,859.00 ","30,656.00 "
2022-02,194.00 ,473.00 ,0.00 ,573.00 ,"1,086.00 ",250.00 ,35.00 ,"239,397.00 ","39,248.00 ","129,681.00 ","5,328.00 ","33,442.00 ","35,519.00 ","110,628.00 ","10,809.00 ","31,581.00 "
2022-03,343.00 ,581.00 ,116.00 ,790.00 ,"1,321.00 ",274.00 ,15.00 ,"240,367.00 ","39,427.00 ","129,872.00 ","5,443.00 ","33,652.00 ","35,603.00 ","110,723.00 ","10,858.00 ","31,855.00 "
2022-04,500.00 ,938.00 ,116.00 ,958.00 ,"1,688.00 ",541.00 ,73.00 ,"241,247.00 ","39,555.00 ","130,033.00 ","5,443.00 ","33,826.00 ","35,626.00 ","110,821.00 ","10,870.00 ","32,257.00 "
2022-05,711.00 ,978.00 ,116.00 ,"1,082.00 ","2,371.00 ",544.00 ,74.00 ,"242,087.00 ","39,647.00 ","130,136.00 ","5,443.00 ","33,936.00 ","35,683.00 ","110,812.00 ","10,934.00 ","32,789.00 "
2022-06,941.00 ,"1,320.00 ",228.00 ,"1,294.00 ","3,088.00 ",732.00 ,93.00 ,"244,101.00 ","39,999.00 ","130,496.00 ","5,553.00 ","34,224.00 ","35,840.00 ","111,002.00 ","11,001.00 ","33,677.00 "
2022-07,"1,067.00 ","1,835.00 ",228.00 ,"1,493.00 ","3,773.00 ","1,018.00 ",260.00 ,"245,517.00 ","40,154.00 ","130,937.00 ","5,553.00 ","34,370.00 ","35,865.00 ","111,040.00 ","11,171.00 ","34,351.00 "
2022-08,"1,306.00 ","1,983.00 ",228.00 ,"1,614.00 ","4,447.00 ","1,120.00 ",262.00 ,"246,631.00 ","40,307.00 ","131,153.00 ","5,553.00 ","34,450.00 ","35,998.00 ","111,182.00 ","11,250.00 ","34,990.00 "
2022-09,"1,590.00 ","2,358.00 ",228.00 ,"1,924.00 ","5,260.00 ","1,193.00 ",397.00 ,"248,328.00 ","40,576.00 ","131,374.00 ","5,553.00 ","34,767.00 ","36,237.00 ","111,295.00 ","11,257.00 ","35,864.00 "
2022-10,"1,774.00 ","2,733.00 ",228.00 ,"2,114.00 ","5,824.00 ","1,491.00 ",404.00 ,"249,518.00 ","40,751.00 ","131,632.00 ","5,553.00 ","34,939.00 ","36,352.00 ","111,488.00 ","11,250.00 ","36,444.00 "
2022-11,"2,060.00 ","3,333.00 ",228.00 ,"2,252.00 ","6,571.00 ","1,869.00 ",525.00 ,"251,060.00 ","41,013.00 ","131,983.00 ","5,553.00 ","35,096.00 ","36,584.00 ","111,660.00 ","11,355.00 ","37,202.34 "
2022-12,"2,387.00 ","4,471.00 ",228.00 ,"3,763.00 ","8,741.00 ","2,823.00 ",634.00 ,"256,405.00 ","41,350.00 ","133,239.00 ","5,553.00 ","36,544.00 ",0.00 ,"112,427.00 ","11,485.00 ","39,261.00 "
2023-02,123.00 ,570.00 ,0.00 ,584.00 ,"2,037.00 ",0.00 ,0.00 ,"259,993.00 ","41,425.00 ","133,786.00 ","5,557.00 ","37,126.00 ",0.00 ,0.00 ,0.00 ,"41,304.00 "
2023-03,271.00 ,805.00 ,119.00 ,"1,040.00 ","3,366.00 ",484.00 ,131.00 ,"262,342.00 ","41,546.00 ","134,019.00 ","5,676.00 ","37,573.00 ","36,847.00 ","112,932.00 ","11,660.00 ","42,596.00 "
2023-04,355.00 ,"1,266.00 ",119.00 ,"1,420.00 ","4,831.00 ",867.00 ,146.00 ,"264,893.00 ","41,633.00 ","134,489.00 ","5,676.00 ","37,966.00 ","36,874.00 ","113,249.00 ","11,750.00 ","44,057.00 "
2023-05,434.00 ,"2,202.00 ",119.00 ,"1,636.00 ","6,121.00 ","1,522.00 ",340.00 ,"267,240.00 ","41,700.00 ","135,095.00 ","5,676.00 ","38,260.00 ","36,881.00 ","113,679.00 ","11,871.00 ","45,399.00 "
2023-06,536.00 ,"2,602.00 ",119.00 ,"2,299.00 ","7,842.00 ","1,838.00 ",350.00 ,"270,772.00 ","41,793.00 ","135,698.00 ","5,676.00 ","38,921.00 ","36,914.00 ","114,103.00 ","11,974.00 ","47,073.00 "
2023-07,554.00 ,"3,227.00 ",119.00 ,"2,631.00 ","9,716.00 ","2,240.00 ",497.00 ,"273,974.00 ","41,812.00 ","136,353.00 ","5,676.00 ","39,291.00 ","36,933.00 ","114,652.00 ","12,028.00 ","49,088.00 "
2023-08,721.00 ,"3,429.00 ",119.00 ,"2,892.00 ","11,316.00 ","2,323.00 ",571.00 ,"276,153.00 ","41,893.00 ","136,606.00 ","5,676.00 ","39,537.00 ","36,954.00 ","114,802.00 ","12,101.00 ","50,548.00 "
2023-09,788.00 ,"3,944.00 ",119.00 ,"3,348.00 ","12,894.00 ","2,733.00 ",632.00 ,"279,124.00 ","41,949.00 ","137,262.00 ","5,676.00 ","40,021.00 ","36,980.00 ","115,348.00 ","12,169.00 ","52,108.00 "
2023-10,844.00 ,"4,372.00 ",119.00 ,"3,731.00 ","14,256.00 ","2,986.00 ",693.00 ,"281,274.00 ","42,023.00 ","137,350.00 ","5,676.00 ","40,400.00 ","37,019.00 ","115,197.00 ","12,281.00 ","53,576.00 "
2023-11,939.00 ,"4,655.00 ",119.00 ,"4,139.00 ","16,388.00 ","3,236.00 ",694.00 ,"285,336.00 ","42,134.00 ","137,884.00 ","5,676.00 ","41,283.00 ","37,070.00 ","115,687.00 ","12,283.00 ","55,762.16 "
2023-12,"1,034.00 ","6,567.00 ",139.00 ,"7,566.00 ","21,602.00 ","4,774.00 ","1,012.00 ","291,965.00 ","42,154.00 ","139,032.00 ","5,691.00 ","44,134.00 ",0.00 ,"116,493.00 ","12,562.00 ","60,949.00 "
2024-02,103.00 ,508.00 ,0.00 ,989.00 ,"3,672.00 ",302.00 ,74.00 ,"297,185.00 ","42,246.00 ","139,420.00 ","5,691.00 ","45,035.00 ","37,057.00 ","116,751.00 ","12,625.00 ","64,788.00 "
2024-03,181.00 ,639.00 ,0.00 ,"1,550.00 ","4,574.00 ",299.00 ,141.00 ,"299,371.00 ","42,340.00 ","139,666.00 ","5,691.00 ","45,664.00 ","37,086.00 ","116,830.00 ","12,709.00 ","66,005.00 "
2024-04,272.00 ,916.00 ,0.00 ,"1,684.00 ","6,011.00 ",471.00 ,191.00 ,"300,963.00 ","42,515.00 ","139,802.00 ","5,691.00 ","45,803.00 ","37,231.00 ","116,887.00 ","12,694.00 ","67,147.00 "
2024-05,344.00 ,"1,210.00 ",119.00 ,"1,976.00 ","7,915.00 ",537.00 ,357.00 ,"303,733.00 ","42,604.00 ","140,113.00 ","5,808.00 ","46,104.00 ","37,225.00 ","116,848.00 ","12,994.00 ","69,098.00 "
2024-06,499.00 ,"1,825.00 ",119.00 ,"2,584.00 ","10,248.00 ",735.00 ,734.00 ,"307,061.00 ","42,715.00 ","140,512.00 ","5,808.00 ","46,671.00 ","37,276.00 ","116,885.00 ","13,333.00 ","71,350.00 "
2024-07,584.00 ,"2,438.00 ",119.00 ,"2,991.00 ","12,353.00 ","1,112.00 ",943.00 ,"310,320.00 ","42,835.00 ","141,061.00 ","5,808.00 ","47,053.00 ","37,366.00 ","117,202.00 ","13,540.00 ","73,557.00 "
2024-08,658.00 ,"2,859.00 ",119.00 ,"3,361.00 ","13,999.00 ","1,296.00 ","1,095.00 ","312,764.00 ","42,867.00 ","141,445.00 ","5,808.00 ","47,403.00 ","37,368.00 ","117,516.00 ","13,585.00 ","75,235.00 "
2024-09,797.00 ,"3,343.00 ",119.00 ,"3,912.00 ","16,088.00 ",0.00 ,0.00 ,"315,976.00 ","43,055.00 ","141,860.00 ","5,808.00 ","47,955.00 ",0.00 ,0.00 ,0.00 ,0.00 
