Name,Sales: Passenger Car,Sales: Passenger Car: Battery Electric,,,
Frequency,Month,Month,,,
Unit,unit,unit,,,
ID,S0105711,S6129663,,,
Time Period,2005-01:2022-11,2015-01:2022-11,,,
Source,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,,,
Update,'2022-12-15,'2022-12-15,,,
2005-01,243053.00 ,,,,
2005-02,213534.00 ,,,,
2005-03,355752.00 ,,,,
2005-04,337033.00 ,,,,
2005-05,317390.00 ,,,,
2005-06,375472.00 ,,,,
2005-07,315648.00 ,,,,
2005-08,292435.00 ,,,,
2005-09,354040.00 ,,,,
2005-10,319885.00 ,,,,
2005-11,393615.00 ,,,,
2005-12,455767.00 ,,,,
2006-01,418942.00 ,,,,
2006-02,344493.00 ,,,,
2006-03,485957.00 ,,,,
2006-04,468438.00 ,,,,
2006-05,393613.00 ,,,,
2006-06,396433.00 ,,,,
2006-07,332587.00 ,,,,
2006-08,377953.00 ,,,,
2006-09,455701.00 ,,,,
2006-10,409962.00 ,,,,
2006-11,499655.00 ,,,,
2006-12,564812.00 ,,,,
2007-01,552518.00 ,,,,
2007-02,417651.00 ,,,,
2007-03,567000.00 ,,,,
2007-04,545824.00 ,,,,
2007-05,488490.00 ,,,,
2007-06,511934.00 ,,,,
2007-07,457162.00 ,,,,
2007-08,481342.00 ,,,,
2007-09,560976.00 ,,,,
2007-10,496928.00 ,,,,
2007-11,582750.00 ,,,,
2007-12,635346.00 ,,,,
2008-01,661938.00 ,,,,
2008-02,488864.00 ,,,,
2008-03,700505.00 ,,,,
2008-04,604920.00 ,,,,
2008-05,564637.00 ,,,,
2008-06,588361.00 ,,,,
2008-07,488219.00 ,,,,
2008-08,451299.00 ,,,,
2008-09,552808.00 ,,,,
2008-10,538457.00 ,,,,
2008-11,522843.00 ,,,,
2008-12,584609.00 ,,,,
2009-01,610596.00 ,,,,
2009-02,607299.00 ,,,,
2009-03,772353.00 ,,,,
2009-04,830974.00 ,,,,
2009-05,829071.00 ,,,,
2009-06,872894.00 ,,,,
2009-07,832596.00 ,,,,
2009-08,858278.00 ,,,,
2009-09,1015069.00 ,,,,
2009-10,946463.00 ,,,,
2009-11,1036422.00 ,,,,
2009-12,1103348.00 ,,,,
2010-01,1315990.00 ,,,,
2010-02,942942.00 ,,,,
2010-03,1264958.00 ,,,,
2010-04,1110874.00 ,,,,
2010-05,1043220.00 ,,,,
2010-06,1042818.00 ,,,,
2010-07,946172.00 ,,,,
2010-08,1018977.00 ,,,,
2010-09,1211428.00 ,,,,
2010-10,1203174.00 ,,,,
2010-11,1339756.00 ,,,,
2010-12,1308575.00 ,,,,
2011-01,1528965.00 ,,,,
2011-02,967242.00 ,,,,
2011-03,1347569.00 ,,,,
2011-04,1142320.00 ,,,,
2011-05,1042862.00 ,,,,
2011-06,1109210.00 ,,,,
2011-07,1011842.00 ,,,,
2011-08,1095170.00 ,,,,
2011-09,1319502.00 ,,,,
2011-10,1220779.00 ,,,,
2011-11,1343668.00 ,,,,
2011-12,1368891.00 ,,,,
2012-01,1160590.00 ,,,,
2012-02,1213123.00 ,,,,
2012-03,1399966.00 ,,,,
2012-04,1276038.00 ,,,,
2012-05,1281907.00 ,,,,
2012-06,1284175.00 ,,,,
2012-07,1120206.00 ,,,,
2012-08,1218884.00 ,,,,
2012-09,1315572.00 ,,,,
2012-10,1298931.00 ,,,,
2012-11,1461303.00 ,,,,
2012-12,1462874.00 ,,,,
2013-01,1725525.00 ,,,,
2013-02,1111892.00 ,,,,
2013-03,1585451.00 ,,,,
2013-04,1441400.00 ,,,,
2013-05,1397111.00 ,,,,
2013-06,1403516.00 ,,,,
2013-07,1237625.00 ,,,,
2013-08,1353235.00 ,,,,
2013-09,1593512.00 ,,,,
2013-10,1605748.00 ,,,,
2013-11,1696278.00 ,,,,
2013-12,1776937.00 ,,,,
2014-01,1846846.00 ,,,,
2014-02,1312197.00 ,,,,
2014-03,1710067.00 ,,,,
2014-04,1609035.00 ,,,,
2014-05,1590354.00 ,,,,
2014-06,1564117.00 ,,,,
2014-07,1357948.00 ,,,,
2014-08,1468166.00 ,,,,
2014-09,1696001.00 ,,,,
2014-10,1708861.00 ,,,,
2014-11,1775320.00 ,,,,
2014-12,2061044.00 ,,,,
2015-01,2038003.00 ,2050.00 ,,,
2015-02,1396733.00 ,2118.00 ,,,
2015-03,1870357.00 ,5610.00 ,,,
2015-04,1668824.00 ,4664.00 ,,,
2015-05,1609274.00 ,5537.00 ,,,
2015-06,1511439.00 ,6336.00 ,,,
2015-07,1268597.00 ,,,,
2015-08,1418462.00 ,,,,
2015-09,1751215.00 ,,,,
2015-10,1936875.00 ,,,,
2015-11,2196773.00 ,,,,
2015-12,2442126.00 ,,,,
2016-01,2228705.00 ,,,,
2016-02,1376681.00 ,,,,
