Wind,,,,,,,,,,,,,,
Name,China: Blast Furnace Starting Rate (247),China: Blast Furnace Refining Production Capacity Utilization (247),China: Tangshan: Operating Rate of Blast Furnaces,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate: Electric Furnace,China: Capacity Utilization: Electric Stove,China: Estimated Daily Average Output: Steel Products,China: Estimated Daily Average Output: Pig Iron,China: Estimated Daily Average Output: Crude Steel,China: Daily Average Output: Crude Steel,China: Estimated Daily Average Output: Coke,China: Operating Rate: Wire Rod: Major Steel Mills,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate of Blast Furnaces (163 Steel Mills)
Frequency,Week,Week,Week,Week,Week,Week,Every Day,Every Day,Every Day,Week,Every Day,Week,Week,Week
Unit,%,%,%,%,%,%,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,%,%,%
ID,C1925068,O2244511,S5711217,S5713303,S5715650,S5715660,S5715686,S5715685,S5708247,S5704502,S5715687,S5713327,S5713303,S5708175
Time Period,2018-03-02:2024-12-20,2018-03-02:2024-12-20,2013-12-20:2024-12-20,2015-02-27:2024-12-20,2017-12-08:2024-12-20,2017-12-08:2024-12-20,2014-06-10:2024-12-10,2014-06-10:2024-12-10,2009-01-10:2024-12-10,2009-01-10:2024-12-10,2014-06-10:2021-03-10,2015-02-27:2024-12-20,2015-02-27:2024-12-20,2012-08-03:2021-12-24
Source,Wind,Wind,China United Steel Network,Wind,China United Steel Network,China United Steel Network,Steelhome,Steelhome,Steelhome,Steelhome,Steelhome,Wind,Wind,Wind
Update,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-14,2024-12-14,2024-12-14,2024-12-14,2021-03-15,2024-12-20,2024-12-20,2023-09-20
2011-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,179.98 ,179.98 ,0.00 ,0.00 ,0.00 ,0.00 
2011-10-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,171.70 ,171.70 ,0.00 ,0.00 ,0.00 ,0.00 
2011-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,166.41 ,166.41 ,0.00 ,0.00 ,0.00 ,0.00 
2011-11-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,166.37 ,166.37 ,0.00 ,0.00 ,0.00 ,0.00 
2011-11-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.52 ,168.52 ,0.00 ,0.00 ,0.00 ,0.00 
2011-12-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,167.36 ,167.36 ,0.00 ,0.00 ,0.00 ,0.00 
2011-12-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,166.62 ,166.61 ,0.00 ,0.00 ,0.00 ,0.00 
2011-12-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,162.64 ,162.64 ,0.00 ,0.00 ,0.00 ,0.00 
2012-01-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.06 ,169.06 ,0.00 ,0.00 ,0.00 ,0.00 
2012-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,166.86 ,166.86 ,0.00 ,0.00 ,0.00 ,0.00 
2012-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,167.25 ,167.25 ,0.00 ,0.00 ,0.00 ,0.00 
2012-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.57 ,170.45 ,0.00 ,0.00 ,0.00 ,0.00 
2012-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.92 ,169.92 ,0.00 ,0.00 ,0.00 ,0.00 
2012-02-29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,167.85 ,167.85 ,0.00 ,0.00 ,0.00 ,0.00 
2012-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,189.80 ,189.80 ,0.00 ,0.00 ,0.00 ,0.00 
2012-03-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,191.85 ,191.90 ,0.00 ,0.00 ,0.00 ,0.00 
2012-03-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,189.00 ,189.00 ,0.00 ,0.00 ,0.00 ,0.00 
2012-04-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,203.08 ,203.08 ,0.00 ,0.00 ,0.00 ,0.00 
2012-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.52 ,200.52 ,0.00 ,0.00 ,0.00 ,0.00 
2012-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,203.50 ,203.50 ,0.00 ,0.00 ,0.00 ,0.00 
2012-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,204.53 ,204.53 ,0.00 ,0.00 ,0.00 ,0.00 
2012-05-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,203.95 ,203.95 ,0.00 ,0.00 ,0.00 ,0.00 
2012-05-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.96 ,195.96 ,0.00 ,0.00 ,0.00 ,0.00 
2012-06-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,199.94 ,199.94 ,0.00 ,0.00 ,0.00 ,0.00 
2012-06-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,197.05 ,197.05 ,0.00 ,0.00 ,0.00 ,0.00 
2012-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.05 ,196.50 ,0.00 ,0.00 ,0.00 ,0.00 
2012-07-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.81 ,195.81 ,0.00 ,0.00 ,0.00 ,0.00 
2012-07-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,199.33 ,199.30 ,0.00 ,0.00 ,0.00 ,0.00 
2012-07-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.94 ,194.94 ,0.00 ,0.00 ,0.00 ,0.00 
2012-08-03,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.96 
2012-08-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.99 ,196.99 ,0.00 ,0.00 ,0.00 ,90.16 
2012-08-17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.76 
2012-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,193.00 ,193.04 ,0.00 ,0.00 ,0.00 ,0.00 
2012-08-24,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.76 
2012-08-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,187.15 ,187.15 ,0.00 ,0.00 ,0.00 ,89.62 
2012-09-07,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.14 
2012-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,189.50 ,189.46 ,0.00 ,0.00 ,0.00 ,0.00 
2012-09-14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,92.01 
2012-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,185.65 ,185.65 ,0.00 ,0.00 ,0.00 ,0.00 
2012-09-21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,92.84 
2012-09-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.82 
2012-09-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,184.28 ,184.28 ,0.00 ,0.00 ,0.00 ,0.00 
2012-10-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,191.62 ,191.62 ,0.00 ,0.00 ,0.00 ,0.00 
2012-10-12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.25 
2012-10-19,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.34 
2012-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,199.92 ,199.92 ,0.00 ,0.00 ,0.00 ,0.00 
2012-10-26,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.32 
2012-10-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,192.57 ,192.57 ,0.00 ,0.00 ,0.00 ,0.00 
2012-11-02,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.63 
2012-11-09,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.77 
2012-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.67 ,195.67 ,0.00 ,0.00 ,0.00 ,0.00 
2012-11-16,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.33 
2012-11-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.18 ,195.18 ,0.00 ,0.00 ,0.00 ,0.00 
2012-11-23,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.69 
2012-11-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,195.99 ,195.99 ,0.00 ,0.00 ,0.00 ,95.96 
2012-12-07,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.56 
2012-12-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.50 ,194.50 ,0.00 ,0.00 ,0.00 ,0.00 
2012-12-14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.70 
2012-12-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,191.09 ,191.09 ,0.00 ,0.00 ,0.00 ,0.00 
2012-12-21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.70 
2012-12-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,96.25 
2012-12-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,190.07 ,190.07 ,0.00 ,0.00 ,0.00 ,0.00 
2013-01-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.42 ,194.42 ,0.00 ,0.00 ,0.00 ,0.00 
2013-01-11,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,96.25 
2013-01-18,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,96.72 
2013-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,191.44 ,191.44 ,0.00 ,0.00 ,0.00 ,0.00 
2013-01-25,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,97.02 
2013-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,190.58 ,190.58 ,0.00 ,0.00 ,0.00 ,0.00 
2013-02-01,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,96.25 
2013-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,198.89 ,198.89 ,0.00 ,0.00 ,0.00 ,0.00 
2013-02-15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.13 
2013-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.61 ,200.61 ,0.00 ,0.00 ,0.00 ,0.00 
2013-02-22,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,96.29 
2013-02-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,203.42 ,203.42 ,0.00 ,0.00 ,0.00 ,0.00 
2013-03-01,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.88 
2013-03-08,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.83 
2013-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,208.46 ,208.46 ,0.00 ,0.00 ,0.00 ,0.00 
2013-03-15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.46 
2013-03-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,206.37 ,206.37 ,0.00 ,0.00 ,0.00 ,0.00 
2013-03-22,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.18 
2013-03-29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.36 
2013-03-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,207.19 ,207.19 ,0.00 ,0.00 ,0.00 ,0.00 
2013-04-05,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.20 
2013-04-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,212.39 ,212.39 ,0.00 ,0.00 ,0.00 ,0.00 
2013-04-12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.27 
2013-04-19,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.61 
2013-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,211.58 ,211.58 ,0.00 ,0.00 ,0.00 ,0.00 
2013-04-26,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.42 
2013-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,212.87 ,212.87 ,0.00 ,0.00 ,0.00 ,0.00 
2013-05-03,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.97 
2013-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,219.29 ,219.29 ,0.00 ,0.00 ,0.00 ,96.02 
2013-05-17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.63 
2013-05-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,218.54 ,218.54 ,0.00 ,0.00 ,0.00 ,0.00 
2013-05-24,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.54 
2013-05-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,215.44 ,215.44 ,0.00 ,0.00 ,0.00 ,93.67 
2013-06-07,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.07 
2013-06-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,215.63 ,215.63 ,0.00 ,0.00 ,0.00 ,0.00 
2013-06-14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.88 
2013-06-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,216.40 ,216.43 ,0.00 ,0.00 ,0.00 ,0.00 
2013-06-21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.35 
2013-06-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.94 
2013-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,218.12 ,218.12 ,0.00 ,0.00 ,0.00 ,0.00 
2013-07-05,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.75 
2013-07-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,210.21 ,208.30 ,0.00 ,0.00 ,0.00 ,0.00 
2013-07-12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.63 
2013-07-19,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.04 
2013-07-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,213.03 ,213.03 ,0.00 ,0.00 ,0.00 ,0.00 
2013-07-26,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.50 
2013-07-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,208.44 ,208.40 ,0.00 ,0.00 ,0.00 ,0.00 
2013-08-02,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.72 
2013-08-09,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.01 
2013-08-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,214.37 ,214.00 ,0.00 ,0.00 ,0.00 ,0.00 
2013-08-16,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.84 
2013-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,211.81 ,211.80 ,0.00 ,0.00 ,0.00 ,0.00 
2013-08-23,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.70 
2013-08-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.01 
2013-08-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,211.92 ,211.92 ,0.00 ,0.00 ,0.00 ,0.00 
2013-09-06,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.19 
2013-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,212.90 ,212.94 ,0.00 ,0.00 ,0.00 ,0.00 
2013-09-13,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.00 
2013-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,214.35 ,214.35 ,0.00 ,0.00 ,0.00 ,95.32 
2013-09-27,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.46 
2013-09-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,215.20 ,215.20 ,0.00 ,0.00 ,0.00 ,0.00 
2013-10-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,212.81 ,212.81 ,0.00 ,0.00 ,0.00 ,0.00 
2013-10-11,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.01 
2013-10-18,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.01 
2013-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,210.68 ,210.68 ,0.00 ,0.00 ,0.00 ,0.00 
2013-10-25,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.92 
2013-10-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,209.84 ,209.84 ,0.00 ,0.00 ,0.00 ,0.00 
2013-11-01,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,95.01 
2013-11-08,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.58 
2013-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,214.42 ,214.40 ,0.00 ,0.00 ,0.00 ,0.00 
2013-11-15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.77 
2013-11-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,213.19 ,213.20 ,0.00 ,0.00 ,0.00 ,0.00 
2013-11-22,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.80 
2013-11-29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.82 
2013-11-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,209.10 ,209.10 ,0.00 ,0.00 ,0.00 ,0.00 
2013-12-06,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,94.22 
2013-12-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,201.29 ,201.29 ,0.00 ,0.00 ,0.00 ,0.00 
2013-12-13,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.35 
2013-12-20,0.00 ,0.00 ,91.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,201.43 ,201.43 ,0.00 ,0.00 ,0.00 ,92.29 
2013-12-27,0.00 ,0.00 ,92.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,92.98 
2013-12-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.06 ,196.10 ,0.00 ,0.00 ,0.00 ,0.00 
2014-01-03,0.00 ,0.00 ,92.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.35 
2014-01-10,0.00 ,0.00 ,93.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,199.68 ,199.70 ,0.00 ,0.00 ,0.00 ,92.65 
