Wind,,,,,,,,
Country,China,China,China,China,China,China,China,China
Name,China: Coal Consumption Rate of Power Supply: YTD,China: Output: Electricity Production: YTD,China: Output: Thermal Power: YTD,China: Output: Hydropower: YTD,China: Output: Nuclear Power: YTD,China: Output: Solar: YTD,China: Output: Wind Power: YTD,China: Coal Consumption Rate of Power Supply: YoY: % Change
Frequency,Month,Month,Month,Month,Month,Month,Month,Month
Unit,g/kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,g/kwh
ID,S0048319,S0027014,S0027018,S0027022,S0027026,S0253041,S0253040,S0048337
Source,Wind,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,Wind
Update,2024-11-22,2024-11-19,2024-11-19,2024-11-19,2024-11-19,2024-11-19,2024-11-19,2024-11-29
2010-11,333.00 ,"37,744.60 ","30,197.50 ","6,148.20 ",668.60 ,0.00 ,373.10 ,-6.00 
2010-12,333.31 ,"41,412.60 ","33,253.40 ","6,621.70 ",738.80 ,0.00 ,430.30 ,-7.00 
2011-01,0.00 ,"3,672.27 ","3,113.30 ",398.43 ,75.41 ,0.00 ,47.50 ,0.00 
2011-02,325.00 ,"6,772.90 ","5,737.20 ",723.80 ,135.50 ,0.00 ,98.70 ,-7.00 
2011-03,325.00 ,"10,650.70 ","9,006.50 ","1,136.20 ",205.80 ,0.00 ,164.50 ,-6.00 
2011-04,326.00 ,"14,304.50 ","12,099.50 ","1,558.30 ",279.70 ,0.00 ,226.00 ,-6.00 
2011-05,327.00 ,"18,161.80 ","15,277.80 ","2,076.50 ",348.50 ,0.00 ,307.30 ,-7.00 
2011-06,328.00 ,"22,166.10 ","18,432.50 ","2,742.00 ",414.10 ,0.00 ,373.90 ,-6.00 
2011-07,328.00 ,"26,425.90 ","21,853.20 ","3,439.30 ",491.70 ,0.00 ,433.20 ,-6.00 
2011-08,328.00 ,"30,732.70 ","25,401.40 ","4,105.10 ",573.20 ,0.00 ,483.50 ,-6.00 
2011-09,329.00 ,"34,540.10 ","28,532.20 ","4,673.90 ",650.00 ,0.00 ,493.60 ,-5.00 
2011-10,329.00 ,"38,181.40 ","31,525.30 ","5,175.00 ",722.50 ,0.00 ,548.40 ,-5.00 
2011-11,329.00 ,"41,939.00 ","34,612.00 ","5,675.60 ",788.20 ,0.00 ,615.40 ,-4.00 
2011-12,329.15 ,"46,036.70 ","38,137.30 ","6,107.80 ",863.50 ,0.00 ,687.40 ,-6.00 
2012-01,0.00 ,"3,485.45 ","2,942.68 ",350.93 ,64.52 ,0.00 ,54.90 ,0.00 
2012-02,319.00 ,"7,187.30 ","6,088.80 ",687.40 ,126.20 ,0.00 ,122.10 ,-6.00 
2012-03,320.00 ,"11,445.80 ","9,607.90 ","1,112.30 ",246.00 ,0.00 ,204.00 ,-5.00 
2012-04,321.00 ,"15,118.10 ","12,659.40 ","1,570.70 ",324.40 ,0.00 ,269.70 ,-5.00 
2012-05,323.00 ,"19,101.60 ","15,776.30 ","2,226.10 ",393.90 ,0.00 ,345.50 ,-4.00 
2012-06,324.00 ,"22,950.30 ","18,712.40 ","2,912.20 ",463.50 ,0.00 ,431.60 ,-4.00 
2012-07,324.00 ,"27,436.40 ","22,003.50 ","3,936.00 ",549.90 ,0.00 ,497.70 ,-4.00 
2012-08,325.00 ,"31,912.20 ","25,277.50 ","4,889.50 ",633.40 ,0.00 ,566.50 ,-4.00 
2012-09,325.00 ,"35,833.90 ","28,154.00 ","5,731.60 ",719.59 ,0.00 ,626.20 ,-4.00 
2012-10,325.00 ,"39,752.00 ","31,093.00 ","6,489.30 ",812.34 ,0.00 ,707.70 ,-5.00 
2012-11,324.00 ,"43,843.30 ","34,297.40 ","7,077.90 ",892.95 ,0.00 ,836.20 ,-4.00 
2012-12,324.63 ,"48,187.50 ","37,867.00 ","7,595.00 ",973.95 ,0.00 ,934.30 ,-3.00 
2013-01,0.00 ,"4,341.10 ","3,714.60 ",453.80 ,89.30 ,0.00 ,0.00 ,0.00 
2013-02,316.00 ,"7,573.20 ","6,429.80 ",820.10 ,155.00 ,0.00 ,161.20 ,-4.00 
2013-03,317.35 ,"11,822.80 ","10,005.80 ","1,306.10 ",228.18 ,0.00 ,271.50 ,-3.00 
2013-04,317.71 ,"15,861.20 ","13,360.90 ","1,809.20 ",299.78 ,0.00 ,378.70 ,-4.00 
2013-05,319.07 ,"20,018.00 ","16,658.70 ","2,465.30 ",388.19 ,0.00 ,492.30 ,-4.19 
2013-06,320.00 ,"24,341.55 ","19,955.07 ","3,291.04 ",477.45 ,0.00 ,599.90 ,-4.00 
2013-07,321.00 ,"29,228.70 ","23,729.01 ","4,208.88 ",576.54 ,0.00 ,692.90 ,-4.00 
2013-08,321.00 ,"34,320.00 ","27,769.38 ","5,060.78 ",675.92 ,0.00 ,789.00 ,-4.00 
2013-09,321.00 ,"38,688.37 ","31,115.88 ","5,843.24 ",803.50 ,0.00 ,892.70 ,-3.00 
2013-10,321.21 ,"43,017.56 ","34,536.83 ","6,537.58 ",907.12 ,0.00 ,998.70 ,-5.00 
2013-11,321.00 ,"47,412.51 ","38,125.95 ","7,126.59 ","1,002.97 ",0.00 ,"1,116.60 ",-4.00 
2013-12,321.00 ,"52,451.07 ","42,152.54 ","7,890.54 ","1,106.34 ",0.00 ,"1,246.20 ",-4.00 
2014-01,0.00 ,"4,328.15 ","3,613.93 ",492.04 ,94.00 ,0.00 ,0.00 ,0.00 
2014-02,315.00 ,"8,161.73 ","6,839.09 ",909.66 ,172.84 ,0.00 ,196.20 ,-1.00 
2014-03,315.00 ,"12,719.40 ","10,609.10 ","1,450.70 ",265.28 ,0.00 ,313.10 ,-2.00 
2014-04,315.00 ,"17,026.60 ","14,079.40 ","2,066.90 ",337.91 ,0.00 ,425.80 ,-3.00 
2014-05,316.00 ,"21,488.90 ","17,498.60 ","2,814.70 ",459.57 ,0.00 ,564.40 ,-3.00 
2014-06,317.00 ,"26,163.30 ","20,994.90 ","3,713.00 ",565.89 ,0.00 ,697.90 ,-3.00 
2014-07,318.00 ,"31,248.68 ","24,687.00 ","4,848.00 ",684.67 ,0.00 ,801.30 ,-3.20 
2014-08,319.00 ,"36,200.00 ","28,215.00 ","6,012.00 ",816.14 ,0.00 ,891.20 ,-2.80 
2014-09,318.69 ,"40,754.80 ","31,371.98 ","7,155.29 ",945.57 ,0.00 ,986.60 ,-2.81 
2014-10,318.69 ,"45,234.00 ","34,591.00 ","8,127.00 ","1,065.20 ",0.00 ,"1,116.10 ",-2.00 
2014-11,318.11 ,"49,746.00 ","38,066.00 ","8,873.00 ","1,186.31 ",0.00 ,"1,249.30 ",-3.00 
2014-12,319.00 ,"56,495.80 ","42,337.30 ","10,643.40 ","1,325.38 ",0.00 ,"1,411.70 ",-3.00 
2015-01,0.00 ,"4,907.01 ","4,030.50 ",565.27 ,124.31 ,0.00 ,0.00 ,0.00 
2015-02,308.00 ,"8,560.86 ","6,944.79 ","1,037.03 ",231.39 ,0.00 ,241.66 ,-7.50 
2015-03,308.00 ,"13,103.00 ","10,469.00 ","1,715.00 ",352.79 ,0.00 ,397.00 ,-7.38 
2015-04,309.00 ,"17,593.00 ","13,919.00 ","2,414.00 ",477.10 ,0.00 ,554.50 ,-5.75 
2015-05,312.59 ,"22,187.00 ","17,393.00 ","3,182.00 ",613.90 ,0.00 ,713.90 ,-3.41 
2015-06,314.00 ,"27,091.00 ","20,879.00 ","4,234.00 ",772.10 ,0.00 ,858.40 ,-3.05 
2015-07,316.00 ,"32,208.00 ","24,555.00 ","5,348.00 ",934.00 ,0.00 ,968.10 ,-1.63 
2015-08,316.57 ,"37,380.00 ","28,337.00 ","6,396.00 ","1,102.60 ",0.00 ,"1,078.10 ",-2.12 
2015-09,316.96 ,"41,990.00 ","31,532.00 ","7,472.00 ","1,261.60 ",0.00 ,"1,195.30 ",-2.14 
2015-10,316.86 ,"46,511.20 ","34,661.65 ","8,474.38 ","1,404.56 ",0.00 ,"1,370.70 ",-0.98 
2015-11,316.42 ,"51,256.70 ","38,231.60 ","9,258.60 ","1,549.09 ",0.00 ,"1,548.00 ",-2.11 
2015-12,315.00 ,"56,184.00 ","42,102.00 ","9,960.00 ","1,707.89 ",0.00 ,"1,680.60 ",-4.00 
2016-02,302.00 ,"8,701.70 ","6,785.50 ","1,289.00 ",284.90 ,0.00 ,289.30 ,-5.51 
2016-03,303.87 ,"13,551.37 ","10,492.91 ","2,032.71 ",470.56 ,0.00 ,476.20 ,-3.76 
2016-04,306.80 ,"17,986.00 ","13,772.00 ","2,816.00 ",620.60 ,0.00 ,670.00 ,-2.45 
2016-05,309.44 ,"22,676.00 ","17,122.00 ","3,743.00 ",785.00 ,140.60 ,884.60 ,-3.16 
2016-06,311.03 ,"27,595.00 ","20,579.00 ","4,811.00 ",964.50 ,174.90 ,"1,065.10 ",-2.93 
2016-07,312.25 ,"33,121.00 ","24,487.00 ","6,049.00 ","1,162.60 ",211.00 ,"1,209.50 ",-4.00 
2016-08,313.06 ,"38,772.00 ","28,639.00 ","7,157.00 ","1,364.20 ",252.20 ,"1,357.80 ",-3.50 
2016-09,313.71 ,"43,732.00 ","32,289.00 ","8,108.00 ","1,544.20 ",292.00 ,"1,498.30 ",-3.25 
2016-10,313.80 ,"48,647.00 ","35,868.00 ","9,037.00 ","1,718.80 ",329.00 ,"1,693.80 ",-3.06 
2016-11,312.82 ,"53,700.80 ","39,679.40 ","9,840.40 ","1,913.70 ",358.90 ,"1,907.60 ",-3.60 
2016-12,312.00 ,"59,111.20 ","43,957.70 ","10,518.40 ","2,127.30 ",393.60 ,"2,113.20 ",-3.00 
2017-02,301.00 ,"9,315.00 ","7,280.00 ","1,229.00 ",333.50 ,74.80 ,398.00 ,-1.68 
2017-03,302.00 ,"14,587.20 ","11,356.90 ","1,938.40 ",547.50 ,122.80 ,621.20 ,-1.82 
2017-04,305.00 ,"19,382.40 ","14,903.10 ","2,684.00 ",750.10 ,173.00 ,871.70 ,-1.56 
2017-05,307.00 ,"24,368.00 ","18,496.00 ","3,570.00 ",954.90 ,228.00 ,"1,118.00 ",-2.35 
2017-06,309.00 ,"29,598.00 ","22,215.00 ","4,613.00 ","1,153.90 ",289.00 ,"1,327.00 ",-2.16 
2017-07,310.00 ,"35,698.00 ","26,581.00 ","5,857.00 ","1,384.70 ",352.00 ,"1,522.00 ",-2.06 
2017-08,311.00 ,"41,659.00 ","30,894.00 ","7,024.00 ","1,614.90 ",409.00 ,"1,716.00 ",-1.91 
2017-09,311.00 ,"46,891.40 ","34,525.00 ","8,147.20 ","1,834.30 ",469.70 ,"1,914.00 ",-2.38 
2017-10,311.00 ,"51,944.00 ","37,993.00 ","9,234.00 ","2,035.50 ",534.00 ,"2,147.00 ",-2.56 
2017-11,310.00 ,"57,118.20 ","41,727.90 ","10,105.20 ","2,259.00 ",591.00 ,"2,434.00 ",-2.87 
2017-12,309.06 ,"62,758.20 ","46,115.00 ","10,819.00 ","2,480.70 ",648.00 ,"2,695.00 ",-3.02 
2018-02,299.60 ,"10,454.50 ","8,086.50 ","1,275.00 ",393.30 ,131.40 ,568.10 ,-1.00 
2018-03,300.60 ,"15,762.70 ","12,147.70 ","1,933.40 ",611.00 ,198.80 ,871.60 ,-1.00 
2018-04,303.80 ,"20,876.50 ","15,951.00 ","2,633.30 ",826.80 ,267.90 ,"1,197.20 ",-1.00 
2018-05,305.60 ,"26,361.20 ","19,914.20 ","3,553.20 ","1,063.00 ",346.60 ,"1,484.20 ",-1.00 
2018-06,307.60 ,"31,945.30 ","23,887.10 ","4,618.00 ","1,300.00 ",427.18 ,"1,712.50 ",-1.00 
2018-07,308.90 ,"38,373.30 ","28,456.10 ","5,901.10 ","1,564.00 ",503.55 ,"1,948.50 ",-1.00 
2018-08,309.70 ,"44,800.70 ","33,103.10 ","7,158.80 ","1,834.90 ",574.68 ,"2,128.70 ",-1.00 
2018-09,311.20 ,"50,361.70 ","36,918.10 ","8,326.20 ","2,088.70 ",660.87 ,"2,367.30 ",-0.10 
2018-10,310.20 ,"55,816.30 ","40,685.60 ","9,418.40 ","2,341.00 ",746.67 ,"2,624.50 ",-1.00 
2018-11,309.30 ,"61,626.00 ","44,962.80 ","10,297.30 ","2,638.00 ",830.20 ,"2,896.80 ",-2.20 
2018-12,308.00 ,"67,914.20 ","49,794.70 ","11,027.50 ","2,944.00 ",894.46 ,"3,253.20 ",-1.80 
2019-02,296.50 ,"10,981.90 ","8,426.70 ","1,352.20 ",483.70 ,147.49 ,571.70 ,-3.10 
2019-03,298.40 ,"16,747.40 ","12,658.20 ","2,159.00 ",770.40 ,244.03 ,915.50 ,-2.20 
2019-04,301.70 ,"22,198.00 ","16,553.60 ","2,987.00 ","1,048.40 ",349.54 ,"1,259.40 ",-2.00 
2019-05,303.40 ,"27,809.20 ","20,408.80 ","4,002.70 ","1,320.30 ",461.37 ,"1,615.30 ",-1.10 
2019-06,306.20 ,"33,672.80 ","24,487.10 ","5,137.80 ","1,600.00 ",568.20 ,"1,879.30 ",-0.80 
2019-07,307.50 ,"40,300.50 ","29,089.20 ","6,514.10 ","1,913.20 ",676.05 ,"2,107.80 ",-1.60 
2019-08,309.30 ,"47,026.00 ","33,853.20 ","7,811.10 ","2,241.70 ",785.05 ,"2,334.70 ",-0.40 
2019-09,310.40 ,"52,967.30 ","38,019.60 ","8,937.90 ","2,538.40 ",904.70 ,"2,566.40 ",-0.80 
2019-10,309.70 ,"58,741.70 ","42,041.40 ","10,012.60 ","2,826.00 ","1,004.72 ","2,856.80 ",-0.50 
2019-11,308.30 ,"64,796.40 ","46,522.10 ","10,826.40 ","3,151.40 ","1,092.10 ","3,204.00 ",-1.00 
2019-12,308.30 ,"71,422.10 ","51,654.30 ","11,534.40 ","3,483.50 ","1,172.16 ","3,577.40 ",0.00 
2020-02,291.80 ,"10,266.90 ","7,806.60 ","1,213.90 ",473.20 ,179.19 ,593.60 ,4.70 
2020-03,293.40 ,"15,822.10 ","11,745.90 ","1,962.90 ",779.50 ,310.11 ,"1,022.40 ",-5.00 
2020-04,296.80 ,"21,388.10 ","15,757.60 ","2,719.60 ","1,087.20 ",440.53 ,"1,383.00 ",-4.70 
2020-05,300.60 ,"27,325.30 ","20,009.80 ","3,557.80 ","1,398.00 ",573.16 ,"1,786.20 ",-3.00 
2020-06,302.10 ,"33,644.80 ","24,342.70 ","4,769.10 ","1,715.70 ",699.92 ,"2,117.00 ",-3.60 
2020-07,304.00 ,"40,450.90 ","28,956.80 ","6,217.30 ","2,049.80 ",820.60 ,"2,406.10 ",-3.00 
2020-08,305.10 ,"47,727.90 ","34,068.70 ","7,634.30 ","2,381.40 ",947.33 ,"2,695.90 ",-3.60 
2020-09,306.10 ,"54,085.60 ","38,316.20 ","9,024.90 ","2,700.10 ","1,070.59 ","2,971.90 ",-4.30 
2020-10,305.70 ,"60,288.30 ","42,333.00 ","10,444.10 ","2,986.80 ","1,195.86 ","3,326.60 ",-3.60 
2020-11,304.20 ,"66,824.40 ","47,095.90 ","11,378.20 ","3,309.70 ","1,307.61 ","3,731.00 ",-3.60 
2020-12,305.50 ,"74,170.40 ","52,798.70 ","12,140.30 ","3,662.50 ","1,420.99 ","4,146.00 ",0.00 
2021-02,292.30 ,"12,427.70 ","9,389.90 ","1,292.30 ",583.80 ,246.68 ,914.50 ,0.27 
2021-03,294.40 ,"19,051.50 ","14,378.60 ","1,958.60 ",925.90 ,387.70 ,"1,400.60 ",0.34 
2021-04,297.10 ,"25,275.50 ","18,901.40 ","2,727.40 ","1,249.60 ",527.08 ,"1,870.00 ",0.03 
2021-05,299.10 ,"31,772.30 ","23,417.20 ","3,684.80 ","1,592.10 ",694.64 ,"2,382.30 ",-0.47 
2021-06,301.40 ,"38,717.00 ","28,262.00 ","4,826.70 ","1,950.90 ",858.23 ,"2,819.20 ",-0.80 
2021-07,303.00 ,"46,450.00 ","33,537.00 ","6,247.00 ","2,333.00 ","1,038.00 ","3,294.00 ",-1.00 
2021-08,304.20 ,"53,894.00 ","38,723.00 ","7,617.10 ","2,698.50 ","1,204.29 ","3,650.80 ",-0.90 
2021-09,304.70 ,"60,721.20 ","43,273.00 ","9,029.90 ","3,030.90 ","1,362.19 ","4,025.00 ",-0.90 
2021-10,304.90 ,"67,176.00 ","47,556.40 ","10,221.90 ","3,366.20 ","1,516.26 ","4,515.00 ",-0.80 
2021-11,303.70 ,"73,826.70 ","52,227.20 ","11,134.30 ","3,702.40 ","1,696.25 ","5,066.10 ",-0.50 
2021-12,302.50 ,"81,121.80 ","57,702.70 ","11,840.20 ","4,075.20 ","1,836.64 ","5,667.00 ",0.00 
2022-02,289.00 ,"13,140.60 ","9,863.70 ","1,400.00 ",640.00 ,294.74 ,942.10 ,-3.20 
2022-03,291.50 ,"19,922.20 ","14,614.10 ","2,211.70 ",989.80 ,479.23 ,"1,627.40 ",-3.20 
2022-04,295.70 ,"26,029.30 ","18,634.70 ","3,130.00 ","1,316.50 ",683.24 ,"2,264.70 ",-1.40 
2022-05,298.10 ,"32,483.80 ","22,711.70 ","4,345.60 ","1,663.30 ",887.19 ,"2,876.00 ",-1.20 
2022-06,300.20 ,"39,631.10 ","27,276.80 ","5,828.20 ","1,989.90 ","1,107.13 ","3,429.10 ",-1.60 
2022-07,301.80 ,"47,725.60 ","32,853.90 ","7,288.30 ","2,359.70 ","1,319.04 ","3,904.70 ",-1.60 
2022-08,303.10 ,"55,975.20 ","38,826.70 ","8,516.70 ","2,722.90 ","1,535.70 ","4,373.20 ",-1.50 
2022-09,304.30 ,"62,867.40 ","43,693.50 ","9,506.80 ","3,046.40 ","1,749.88 ","4,870.80 ",-0.50 
2022-10,304.80 ,"69,576.10 ","48,187.90 ","10,499.80 ","3,406.80 ","1,968.18 ","5,513.40 ",-0.10 
2022-11,303.45 ,"76,285.80 ","52,953.00 ","11,282.20 ","3,780.40 ","2,125.33 ","6,144.80 ",-0.30 
2022-12,301.50 ,"83,886.30 ","58,531.30 ","12,020.00 ","4,177.80 ","2,290.00 ","6,867.20 ",-0.10 
2023-02,288.00 ,"13,497.34 ","9,756.62 ","1,366.67 ",667.54 ,369.59 ,"1,336.84 ",-1.40 
2023-03,290.80 ,"20,711.79 ","14,950.93 ","2,035.06 ","1,033.25 ",612.33 ,"2,080.08 ",-0.60 
2023-04,294.70 ,"27,309.20 ","19,467.00 ","2,708.70 ","1,378.40 ",845.60 ,"2,909.30 ",-1.00 
2023-05,298.60 ,"34,216.40 ","24,205.80 ","3,523.40 ","1,747.30 ","1,076.86 ","3,662.80 ",0.02 
2023-06,300.10 ,"41,679.65 ","29,456.97 ","4,504.22 ","2,118.86 ","1,352.72 ","4,246.44 ",-0.34 
2023-07,302.20 ,"50,130.40 ","35,473.70 ","5,717.00 ","2,499.30 ","1,604.04 ","4,835.90 ",0.49 
2023-08,304.40 ,"58,662.56 ","41,389.53 ","7,187.42 ","2,882.59 ","1,894.00 ","5,308.39 ",0.90 
2023-09,305.10 ,"66,219.20 ","46,396.90 ","8,583.90 ","3,227.90 ","2,172.91 ","5,836.80 ",0.56 
2023-10,305.20 ,"73,330.00 ","51,077.10 ","9,804.90 ","3,587.30 ","2,435.71 ","6,424.30 ",-0.10 
2023-11,303.40 ,"80,732.00 ","56,178.00 ","10,636.00 ","3,952.00 ","2,713.98 ","7,252.00 ",-0.10 
2023-12,0.00 ,"89,090.78 ","62,318.04 ","11,408.86 ","4,332.56 ","2,939.68 ","8,090.49 ",0.00 
2024-02,289.80 ,"14,870.30 ","10,801.90 ","1,389.60 ",691.10 ,490.28 ,"1,497.30 ",1.80 
2024-03,293.00 ,"22,371.60 ","16,028.00 ","2,101.70 ","1,039.20 ",783.22 ,"2,419.40 ",2.13 
2024-04,296.30 ,"29,328.70 ","20,621.90 ","2,937.40 ","1,404.90 ","1,113.96 ","3,250.40 ",1.60 
2024-05,300.20 ,"36,569.70 ","25,172.60 ","4,088.50 ","1,764.90 ","1,495.23 ","4,048.30 ",1.60 
2024-06,302.40 ,"44,354.50 ","30,052.70 ","5,525.80 ","2,121.50 ","1,899.30 ","4,755.20 ",2.31 
2024-07,304.70 ,"53,239.30 ","35,813.90 ","7,188.00 ","2,518.20 ","2,281.79 ","5,437.30 ",2.46 
2024-08,305.80 ,"62,378.80 ","41,967.70 ","8,822.00 ","2,920.40 ","2,695.14 ","5,973.50 ",1.40 
2024-09,305.80 ,"70,560.40 ","47,438.80 ","10,039.70 ","3,275.50 ","3,073.12 ","6,733.20 ",0.74 
2024-10,307.00 ,"78,027.20 ","52,230.50 ","11,100.70 ","3,642.80 ","3,472.19 ","7,580.90 ",1.79 
