Wind,,,,,,,,,,,,,,
Name,Output: Natural Crude Oil: YTD,Quantity of Imports: Crude Oil: YTD,China: Volume of Imports: Finished Oil Products (The Customs' Statistical Standard): YTD,China: Volume of Exports: Finished Oil Products (The Customs' Statistical Standard): YTD,China: Volume of Imports: Natural Gas: YTD,China: Output: Natural Gas: YTD,China: Output: Processing of Petroleum: YTD,China: Output: Raw Coal: Total: YTD,China: Quantity of Imports: Coal and Lignite,China: Output: Gasoline: YTD,China: Output: Diesel Oil: YTD,China: Output: Kerosene: YTD,,
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,,
Unit,10000 tons,10000 tons,10000 tons,10000 tons,100 million m³,100 million m³,ton,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,,
ID,S0027037,S0027236,S0027242,S0027245,S5426748,S0027041,S0073134,S5117148,S0173743,S0027045,S0027049,S0027053,,
Time Period,1989-02:2024-09,1995-01:2024-09,2003-07:2024-09,2003-07:2024-09,1995-01:2024-08,1989-01:2024-09,1989-01:2024-09,1989-01:2024-09,1995-01:2024-09,1989-02:2024-08,1989-02:2024-08,1989-02:2024-08,,
Source,National Bureau of Statistics of China,China Customs,China Customs,China Customs,China Customs,National Bureau of Statistics of China,National Bureau of Statistics of China,According to the Press Finishing,China Customs,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,,
Update,2024-10-18,2024-10-18,2024-10-18,2024-10-18,2024-09-25,2024-10-18,2024-10-18,2024-10-21,2024-10-18,2024-09-19,2024-09-19,2024-09-19,,
2012-07,"11,769.20 ","16,188.97 ","2,331.00 ","1,363.00 ",213.95 ,617.99 ,"266,497,223.59 ","231,508.44 ","2,427.00 ","5,008.30 ","9,877.00 ","1,188.40 ",,
2012-08,"13,675.60 ","18,028.80 ","2,555.00 ","1,573.00 ",246.93 ,697.71 ,"304,298,106.81 ","263,278.40 ","2,044.00 ","5,753.80 ","11,251.20 ","1,373.20 ",,
2012-09,"15,420.20 ","20,036.95 ","2,897.00 ","1,780.00 ",285.09 ,780.02 ,"343,051,698.20 ","297,781.49 ","1,863.00 ","6,565.10 ","12,648.00 ","1,566.20 ",,
2012-10,"17,211.00 ","22,404.74 ","3,217.00 ","1,962.00 ",323.49 ,866.72 ,"382,998,258.54 ","332,773.67 ","2,141.00 ","7,327.20 ","14,082.90 ","1,752.70 ",,
2012-11,"18,950.20 ","24,741.68 ","3,566.00 ","2,177.00 ",360.87 ,964.92 ,"424,610,439.78 ","367,139.42 ","2,898.00 ","8,143.10 ","15,571.30 ","1,941.30 ",,
2012-12,"20,747.80 ","27,109.00 ","3,982.00 ","2,429.00 ",407.71 ,"1,067.14 ","467,910,656.85 ","404,102.99 ","3,511.00 ","8,975.60 ","17,063.70 ","2,131.40 ",,
2013-01,"1,759.90 ","2,515.00 ",391.00 ,243.00 ,41.58 ,106.50 ,"42,891,000.00 ","30,260.61 ","3,055.00 ",865.00 ,"1,512.40 ",197.30 ,,
2013-02,"3,360.40 ","4,593.00 ",730.00 ,463.00 ,82.37 ,202.20 ,"80,652,000.00 ","53,424.77 ","2,330.00 ","1,650.30 ","2,867.70 ",384.10 ,,
2013-03,"5,131.70 ","6,897.00 ","1,043.00 ",728.00 ,120.42 ,294.64 ,"120,489,600.00 ","87,182.77 ","2,615.00 ","2,480.90 ","4,350.20 ",582.10 ,,
2013-04,"6,847.00 ","9,205.00 ","1,432.00 ",996.00 ,166.09 ,386.63 ,"158,682,700.00 ","121,775.40 ","2,869.00 ","3,261.90 ","5,736.70 ",777.30 ,,
2013-05,"8,619.40 ","11,600.00 ","1,832.00 ","1,270.00 ",206.80 ,475.60 ,"197,276,600.00 ","155,340.40 ","2,757.00 ","4,081.80 ","7,162.60 ",991.10 ,,
2013-06,"10,361.46 ","13,817.00 ","2,160.00 ","1,470.00 ",246.95 ,564.10 ,"236,789,900.00 ","188,598.07 ","2,236.00 ","4,885.27 ","8,563.01 ","1,190.83 ",,
2013-07,"12,077.71 ","16,418.00 ","2,485.00 ","1,673.00 ",286.08 ,653.81 ,"277,050,900.00 ","220,746.39 ","2,865.00 ","5,698.74 ","10,013.19 ","1,395.05 ",,
2013-08,"13,808.05 ","18,561.00 ","2,742.00 ","1,922.00 ",335.27 ,742.77 ,"317,160,200.00 ","255,122.34 ","2,596.00 ","6,511.82 ","11,454.76 ","1,621.39 ",,
2013-09,"15,495.87 ","21,129.00 ","3,046.00 ","2,136.00 ",382.89 ,827.79 ,"355,791,200.00 ","289,376.56 ","2,573.00 ","7,292.75 ","12,847.31 ","1,845.69 ",,
2013-10,"17,302.78 ","23,162.00 ","3,338.00 ","2,376.00 ",427.25 ,920.07 ,"396,865,500.00 ","324,043.69 ","2,437.00 ","8,124.41 ","14,326.68 ","2,078.45 ",,
2013-11,"19,030.71 ","25,518.00 ","3,621.00 ","2,587.00 ",470.15 ,"1,020.18 ","436,452,200.00 ","363,148.76 ","2,843.00 ","8,957.49 ","15,786.21 ","2,284.65 ",,
2013-12,"20,812.87 ","28,195.00 ","3,959.00 ","2,851.00 ",529.75 ,"1,129.39 ","478,576,000.00 ","404,981.69 ","3,546.00 ","9,833.31 ","17,272.79 ","2,509.64 ",,
2014-01,"1,758.42 ","2,815.45 ",376.18 ,225.52 ,61.49 ,109.94 ,"38,609,400.00 ","27,868.02 ","3,590.88 ",846.60 ,"1,349.44 ",229.19 ,,
2014-02,"3,369.80 ","5,120.41 ",617.55 ,427.13 ,105.57 ,213.90 ,"78,781,100.00 ","54,967.02 ","2,281.89 ","1,729.24 ","2,763.41 ",459.60 ,,
2014-03,"5,133.70 ","7,472.42 ",854.21 ,700.91 ,145.60 ,323.40 ,"121,311,100.00 ","90,497.67 ","2,529.39 ","2,665.00 ","4,256.80 ",703.40 ,,
2014-04,"6,831.40 ","10,260.68 ","1,108.65 ",920.45 ,189.89 ,421.10 ,"160,874,600.00 ","123,125.05 ","2,710.60 ","3,542.00 ","5,649.10 ",945.00 ,,
2014-05,"8,606.90 ","12,869.17 ","1,289.95 ","1,142.53 ",239.68 ,520.10 ,"201,385,800.00 ","156,640.68 ","2,401.21 ","4,428.10 ","7,071.00 ","1,190.00 ",,
2014-06,"10,357.10 ","15,196.96 ","1,526.14 ","1,366.87 ",287.65 ,613.40 ,"243,217,800.00 ","191,826.12 ","2,505.26 ","5,351.92 ","8,556.83 ","1,441.67 ",,
2014-07,"12,091.29 ","17,573.11 ","1,712.60 ","1,638.68 ",340.45 ,715.60 ,"284,298,500.00 ","224,737.72 ","2,302.92 ","6,238.05 ","9,996.64 ","1,698.53 ",,
2014-08,"13,840.00 ","20,092.43 ","1,965.38 ","1,911.73 ",391.32 ,814.40 ,"327,633,900.00 ","256,776.21 ","1,886.37 ","7,169.90 ","11,486.62 ","1,972.83 ",,
2014-09,"15,608.98 ","22,850.46 ","2,212.55 ","2,127.06 ",438.22 ,909.80 ,"369,650,000.00 ","291,381.63 ","2,115.86 ","8,073.93 ","12,955.09 ","2,236.00 ",,
2014-10,"17,415.00 ","25,259.68 ","2,440.61 ","2,441.39 ",485.17 ,"1,012.80 ","413,166,700.00 ","322,268.15 ","2,013.40 ","9,038.90 ","14,491.30 ","2,481.80 ",,
2014-11,"19,177.00 ","27,800.50 ","2,677.73 ","2,685.36 ",534.18 ,"1,112.60 ","455,408,700.00 ","353,351.83 ","2,102.75 ","9,959.20 ","16,003.10 ","2,727.90 ",,
2014-12,"21,142.90 ","30,837.66 ","2,999.66 ","2,967.35 ",596.55 ,"1,234.10 ","502,770,000.00 ","386,988.02 ","2,721.91 ","11,029.90 ","17,635.30 ","3,001.00 ",,
2015-01,"1,797.16 ","2,798.06 ",234.66 ,207.44 ,59.48 ,119.94 ,"42,940,200.00 ","29,600.00 ","1,678.01 ",967.34 ,"1,486.17 ",279.33 ,,
2015-02,"3,415.04 ","5,353.14 ",502.52 ,375.09 ,117.94 ,224.65 ,"82,635,400.00 ","53,943.00 ","1,526.34 ","1,856.48 ","2,826.41 ",555.31 ,,
2015-03,"5,224.50 ","8,034.09 ",789.86 ,658.08 ,164.16 ,336.40 ,"127,389,900.00 ","84,743.00 ","1,702.65 ","2,869.50 ","4,383.20 ",866.80 ,,
2015-04,"6,974.40 ","11,062.43 ","1,036.92 ",929.34 ,215.36 ,430.40 ,"170,517,000.00 ","111,945.00 ","1,995.23 ","3,875.80 ","5,882.10 ","1,157.30 ",,
2015-05,"8,791.60 ","13,386.71 ","1,268.88 ","1,172.99 ",255.08 ,532.40 ,"214,411,000.00 ","140,286.00 ","1,424.88 ","4,909.40 ","7,420.70 ","1,458.00 ",,
2015-06,"10,603.20 ","16,336.76 ","1,578.76 ","1,478.36 ",304.34 ,629.80 ,"257,756,000.00 ","172,500.00 ","1,660.31 ","5,924.90 ","8,946.40 ","1,758.90 ",,
2015-07,"12,413.50 ","19,408.16 ","1,817.29 ","1,778.65 ",355.26 ,730.80 ,"301,293,000.00 ","206,598.00 ","2,125.86 ","6,960.60 ","10,436.50 ","2,071.90 ",,
2015-08,"14,230.10 ","22,067.33 ","2,048.62 ","2,090.04 ",402.67 ,835.00 ,"345,649,000.00 ","241,400.00 ","1,748.71 ","7,992.30 ","11,979.80 ","2,384.40 ",,
2015-09,"16,084.00 ","24,861.99 ","2,318.77 ","2,444.72 ",448.89 ,931.00 ,"388,213,000.00 ","271,927.00 ","1,776.76 ","8,999.40 ","13,439.20 ","2,692.40 ",,
2015-10,"17,892.72 ","27,497.47 ","2,517.72 ","2,772.62 ",498.79 ,"1,034.90 ","432,406,308.00 ","304,014.00 ","1,396.36 ","10,024.51 ","14,936.93 ","3,010.28 ",,
2015-11,"19,658.80 ","30,231.21 ","2,705.38 ","3,182.78 ",549.47 ,"1,146.00 ","476,139,169.00 ","337,000.00 ","1,619.17 ","11,036.90 ","16,436.10 ","3,323.60 ",,
2015-12,"21,474.20 ","33,550.03 ","2,989.79 ","3,615.49 ",616.70 ,"1,271.40 ","521,992,183.00 ","368,500.00 ","1,764.12 ","12,103.56 ","18,007.89 ","3,658.62 ",,
2016-01,0.00 ,"2,669.00 ",266.00 ,301.00 ,72.67 ,0.00 ,0.00 ,"28,890.00 ","1,523.00 ",0.00 ,0.00 ,0.00 ,,
2016-02,"3,410.80 ","5,849.00 ",530.00 ,600.00 ,139.10 ,251.00 ,"87,077,000.00 ","51,346.00 ","1,354.00 ","2,077.60 ","2,860.30 ",614.80 ,,
2016-03,"5,155.00 ","9,110.00 ",775.00 ,975.00 ,200.65 ,374.00 ,"132,357,000.00 ","80,726.00 ","1,969.00 ","3,175.94 ","4,337.85 ",947.48 ,,
2016-04,"6,813.70 ","12,367.00 ","1,024.00 ","1,343.00 ",265.79 ,479.80 ,"177,107,000.00 ","107,529.00 ","1,880.00 ","4,266.00 ","5,799.30 ","1,265.40 ",,
2016-05,"8,500.60 ","15,591.00 ","1,326.00 ","1,724.00 ",313.88 ,589.50 ,"221,337,000.00 ","133,904.00 ","1,903.00 ","5,322.60 ","7,251.50 ","1,596.30 ",,
2016-06,"10,158.60 ","18,653.00 ","1,547.00 ","2,147.00 ",373.46 ,690.40 ,"267,351,000.00 ","161,658.10 ","2,175.00 ","6,423.00 ","8,708.70 ","1,928.70 ",,
2016-07,"11,834.90 ","21,760.00 ","1,755.00 ","2,603.00 ",424.91 ,793.80 ,"311,863,000.00 ","188,658.70 ","2,121.00 ","7,477.10 ","10,182.10 ","2,272.80 ",,
2016-08,"13,479.80 ","25,045.00 ","1,956.00 ","2,974.00 ",471.29 ,901.80 ,"356,135,000.00 ","216,467.60 ","2,659.00 ","8,556.60 ","11,662.90 ","2,618.00 ",,
2016-09,"15,077.70 ","28,351.00 ","2,150.00 ","3,405.00 ",551.00 ,"1,003.50 ","399,932,000.00 ","244,164.20 ","2,444.00 ","9,568.40 ","13,105.70 ","2,945.90 ",,
2016-10,"16,682.00 ","31,228.00 ","2,326.00 ","3,811.00 ",604.07 ,"1,112.00 ","446,983,000.00 ","272,349.40 ","2,158.00 ","10,687.70 ","14,655.20 ","3,298.30 ",,
2016-11,"18,291.30 ","34,463.00 ","2,526.00 ","4,296.00 ",668.29 ,"1,235.40 ","493,099,000.00 ","303,150.20 ","2,697.00 ","11,808.60 ","16,315.70 ","3,644.80 ",,
2016-12,"19,968.50 ","38,101.00 ","2,784.00 ","4,831.00 ",752.63 ,"1,368.30 ","541,013,000.00 ","334,248.00 ","2,684.00 ","12,932.00 ","17,917.70 ","3,983.80 ",,
2017-01,0.00 ,"3,403.00 ",260.00 ,304.00 ,81.02 ,0.00 ,0.00 ,0.00 ,"2,491.00 ",0.00 ,0.00 ,0.00 ,,
2017-02,"3,144.00 ","6,578.00 ",498.00 ,730.00 ,149.41 ,251.00 ,"90,765,000.00 ","50,678.20 ","1,768.00 ","2,166.90 ","2,911.90 ",687.40 ,,
2017-03,"4,801.80 ","10,473.00 ",768.00 ,"1,196.00 ",209.05 ,387.40 ,"138,216,000.00 ","80,922.60 ","2,209.00 ","3,290.90 ","4,475.90 ","1,036.40 ",,
2017-04,"6,400.90 ","13,912.00 ","1,017.00 ","1,544.00 ",279.75 ,509.40 ,"182,510,000.00 ","110,827.80 ","2,478.00 ","4,337.20 ","5,930.90 ","1,361.50 ",,
2017-05,"8,024.00 ","17,631.00 ","1,269.00 ","1,947.00 ",355.05 ,629.00 ,"229,131,000.00 ","140,652.70 ","2,219.00 ","5,450.70 ","7,445.90 ","1,699.80 ",,
2017-06,"9,645.00 ","21,234.00 ","1,503.00 ","2,366.00 ",432.61 ,741.00 ,"275,210,000.00 ","171,263.00 ","2,160.00 ","6,563.00 ","8,957.50 ","2,042.00 ",,
2017-07,"11,279.00 ","24,708.00 ","1,738.00 ","2,821.00 ",512.50 ,858.00 ,"320,707,000.00 ","200,606.00 ","1,946.00 ","7,621.30 ","10,434.00 ","2,387.90 ",,
2017-08,"12,875.00 ","28,105.00 ","2,011.00 ","3,281.00 ",591.22 ,978.00 ,"367,942,000.00 ","229,999.90 ","2,527.00 ","8,684.90 ","11,922.60 ","2,751.40 ",,
2017-09,"14,428.00 ","31,806.00 ","2,241.00 ","3,663.00 ",673.87 ,"1,087.20 ","418,436,000.00 ","259,202.10 ","2,708.00 ","9,863.70 ","13,530.60 ","3,140.70 ",,
2017-10,"16,013.00 ","34,908.00 ","2,435.00 ","4,035.00 ",754.64 ,"1,211.00 ","468,921,000.00 ","285,279.00 ","2,128.00 ","11,029.90 ","15,159.80 ","3,524.40 ",,
2017-11,"17,563.80 ","38,598.00 ","2,689.00 ","4,610.00 ",845.75 ,"1,338.10 ","518,662,000.00 ","313,595.60 ","2,205.00 ","12,172.70 ","16,751.90 ","3,883.70 ",,
2017-12,"19,151.00 ","41,957.00 ","2,964.00 ","5,216.00 ",955.47 ,"1,474.00 ","567,773,000.00 ","344,545.60 ","2,274.00 ","13,276.20 ","18,318.00 ","4,230.90 ",,
2018-01,0.00 ,"4,064.00 ",287.00 ,412.00 ,108.05 ,0.00 ,0.00 ,0.00 ,"2,781.00 ",0.00 ,0.00 ,0.00 ,,
2018-02,"3,037.50 ","7,290.00 ",549.00 ,761.00 ,203.69 ,261.90 ,"93,404,000.00 ","52,000.00 ","2,091.00 ","2,246.10 ","2,875.00 ",706.50 ,,
2018-03,"4,633.10 ","11,207.00 ",824.00 ,"1,430.00 ",286.35 ,396.70 ,"148,715,000.00 ","80,454.00 ","2,670.00 ","3,481.80 ","4,515.10 ","1,149.50 ",,
2018-04,"6,225.30 ","15,143.00 ","1,125.00 ","1,942.00 ",380.80 ,526.30 ,"199,124,000.00 ","109,671.00 ","2,228.00 ","4,629.90 ","5,987.50 ","1,535.70 ",,
2018-05,"7,822.60 ","19,048.00 ","1,427.00 ","2,555.00 ",483.51 ,652.40 ,"249,784,000.00 ","139,828.70 ","2,233.00 ","5,775.40 ","7,501.90 ","1,943.20 ",,
2018-06,"9,409.20 ","22,482.00 ","1,649.00 ","3,033.00 ",584.67 ,775.00 ,"299,610,000.00 ","169,658.90 ","2,547.00 ","6,919.20 ","8,986.90 ","2,347.30 ",,
2018-07,"10,995.30 ","26,083.00 ","1,915.00 ","3,490.00 ",687.02 ,904.90 ,"350,570,000.00 ","197,818.00 ","2,901.00 ","8,108.10 ","10,432.70 ","2,761.10 ",,
2018-08,"12,595.00 ","29,919.00 ","2,185.00 ","4,022.00 ",794.72 ,"1,039.50 ","400,412,000.00 ","227,846.00 ","2,868.00 ","9,233.30 ","11,863.30 ","3,172.40 ",,
2018-09,"14,112.50 ","33,641.00 ","2,459.00 ","4,410.00 ",900.67 ,"1,161.70 ","452,544,000.00 ","259,492.50 ","2,514.00 ","10,421.10 ","13,337.30 ","3,591.40 ",,
2018-10,"15,721.40 ","37,716.00 ","2,714.00 ","4,809.00 ","1,001.95 ","1,295.30 ","505,098,000.00 ","289,889.00 ","2,308.00 ","11,653.90 ","14,821.00 ","3,985.50 ",,
2018-11,"17,274.80 ","41,811.00 ","3,024.00 ","5,256.00 ","1,128.89 ","1,438.10 ","554,483,000.00 ","321,414.00 ","1,915.00 ","12,815.80 ","16,246.80 ","4,370.00 ",,
2018-12,"18,910.60 ","46,190.00 ","3,348.00 ","5,864.00 ","1,256.81 ","1,610.20 ","603,570,000.00 ","354,591.00 ","1,023.00 ","13,887.70 ","17,376.00 ","4,770.30 ",,
2019-01,0.00 ,"4,260.00 ",338.00 ,542.00 ,136.39 ,0.00 ,0.00 ,0.00 ,"3,350.00 ",0.00 ,0.00 ,0.00 ,,
2019-02,"3,069.20 ","8,182.00 ",572.00 ,923.00 ,241.34 ,286.80 ,"102,490,000.00 ","51,367.00 ","1,764.00 ","2,379.70 ","2,765.40 ",796.00 ,,
2019-03,"4,734.70 ","12,117.00 ",872.00 ,"1,643.00 ",337.45 ,439.80 ,"155,367,000.00 ","81,259.00 ","2,348.00 ","3,586.40 ","4,133.90 ","1,218.60 ",,
2019-04,"6,305.80 ","16,490.00 ","1,222.00 ","2,261.00 ",443.41 ,580.60 ,"207,470,000.00 ","110,961.00 ","2,530.00 ","4,750.70 ","5,457.50 ","1,637.70 ",,
2019-05,"7,928.90 ","20,512.00 ","1,479.00 ","2,709.00 ",548.20 ,724.90 ,"259,489,000.00 ","142,269.00 ","2,747.00 ","5,918.70 ","6,774.30 ","2,065.30 ",,
2019-06,"9,539.00 ","24,461.00 ","1,678.00 ","3,252.00 ",652.33 ,864.10 ,"316,966,000.00 ","176,000.00 ","2,710.00 ","7,036.00 ","8,080.60 ","2,509.80 ",,
2019-07,"11,130.70 ","28,564.00 ","1,840.00 ","3,800.00 ",761.09 ,"1,003.30 ","369,727,000.00 ","209,000.00 ","3,289.00 ","8,153.50 ","9,434.80 ","2,954.80 ",,
2019-08,"12,748.90 ","32,780.00 ","2,049.00 ","4,208.00 ",876.55 ,"1,141.40 ","424,158,000.00 ","240,929.00 ","3,295.00 ","9,291.40 ","10,823.10 ","3,429.50 ",,
2019-09,"14,313.20 ","36,904.00 ","2,263.00 ","4,775.00 ",990.30 ,"1,277.20 ","480,383,000.00 ","273,645.00 ","3,029.00 ","10,479.50 ","12,268.10 ","3,903.00 ",,
2019-10,"15,924.50 ","41,454.00 ","2,485.00 ","5,275.00 ","1,080.51 ","1,422.80 ","537,104,000.00 ","306,000.00 ","2,569.00 ","11,715.60 ","13,693.60 ","4,375.10 ",,
2019-11,"17,494.90 ","46,024.00 ","2,725.00 ","6,006.00 ","1,211.25 ","1,574.60 ","593,000,000.00 ","341,000.00 ","2,078.00 ","12,899.80 ","15,134.00 ","4,825.00 ",,
2019-12,"19,101.40 ","50,572.00 ","3,056.00 ","6,685.00 ","1,342.64 ","1,736.20 ","651,981,000.00 ","375,000.00 ",277.00 ,"14,120.70 ","16,638.30 ","5,272.60 ",,
2020-01,0.00 ,"4,610.00 ",236.00 ,534.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,356.00 ",0.00 ,0.00 ,0.00 ,,
2020-02,"3,200.20 ","8,608.00 ",494.00 ,"1,075.00 ",246.30 ,314.10 ,"99,194,000.00 ","49,000.00 ","2,439.00 ","2,044.00 ","2,358.60 ",761.00 ,,
2020-03,"4,856.50 ","12,718.00 ",711.00 ,"1,802.00 ",341.73 ,483.20 ,"149,282,000.00 ","82,991.00 ","2,783.00 ","2,987.00 ","3,596.60 ","1,048.90 ",,
2020-04,"6,444.00 ","16,761.00 ",961.00 ,"2,601.00 ",448.28 ,644.20 ,"203,476,000.00 ","115,243.70 ","3,095.00 ","3,991.00 ","4,938.10 ","1,291.30 ",,
2020-05,"8,089.60 ","21,558.00 ","1,340.00 ","2,990.00 ",556.53 ,788.10 ,"261,395,000.00 ","147,130.30 ","2,206.00 ","5,010.40 ","6,259.40 ","1,580.70 ",,
2020-06,"9,714.80 ","26,875.00 ","1,690.00 ","3,376.00 ",672.40 ,940.20 ,"319,089,000.00 ","180,540.60 ","2,529.00 ","6,070.80 ","7,704.60 ","1,895.80 ",,
2020-07,"11,350.20 ","32,004.00 ","1,882.00 ","3,697.00 ",774.55 ,"1,082.70 ","378,650,000.00 ","212,281.70 ","2,610.00 ","7,249.20 ","9,215.40 ","2,227.90 ",,
2020-08,"13,015.40 ","36,752.00 ","2,077.00 ","4,125.00 ",904.73 ,"1,224.80 ","438,030,000.00 ","245,041.80 ","2,066.00 ","8,440.80 ","10,647.10 ","2,570.10 ",,
2020-09,"14,624.90 ","41,600.00 ","2,263.00 ","4,519.00 ","1,025.18 ","1,370.70 ","495,381,000.00 ","278,715.30 ","1,868.00 ","9,636.40 ","11,969.50 ","2,931.70 ",,
2020-10,"16,266.10 ","45,856.00 ","2,413.00 ","5,098.00 ","1,129.87 ","1,534.10 ","555,181,000.00 ","312,742.70 ","1,373.00 ","10,826.60 ","13,299.20 ","3,306.30 ",,
2020-11,"17,862.60 ","50,392.00 ","2,618.00 ","5,593.00 ","1,257.45 ","1,702.40 ","614,406,000.00 ","348,173.30 ","1,176.00 ","12,000.60 ","14,603.90 ","3,674.20 ",,
2020-12,"19,492.00 ","54,239.00 ","2,835.00 ","6,183.00 ","1,413.52 ","1,888.50 ","674,408,000.00 ","384,374.00 ","3,908.00 ","13,171.70 ","15,904.90 ","4,049.40 ",,
2021-01,0.00 ,"4,459.00 ",188.00 ,566.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,035.00 ",0.00 ,0.00 ,0.00 ,,
2021-02,"3,208.20 ","8,957.00 ",398.00 ,"1,096.00 ",287.28 ,348.30 ,"114,242,000.00 ","61,759.00 ","2,077.00 ","2,403.80 ","2,459.00 ",681.80 ,,
2021-03,"4,917.60 ","13,923.00 ",608.00 ,"1,779.00 ",408.62 ,533.10 ,"174,039,000.00 ","97,056.00 ","2,733.00 ","3,641.80 ","3,775.20 ","1,045.70 ",,
2021-04,"6,562.70 ","17,958.00 ",804.00 ,"2,461.00 ",548.64 ,701.70 ,"232,096,000.00 ","129,440.00 ","2,173.00 ","4,824.10 ","5,027.60 ","1,439.60 ",,
2021-05,"8,265.50 ","22,054.00 ","1,038.00 ","3,002.00 ",692.18 ,871.80 ,"292,736,000.00 ","162,100.00 ","2,104.00 ","6,092.70 ","6,300.00 ","1,871.50 ",,
2021-06,"9,932.20 ","26,066.00 ","1,251.00 ","3,645.00 ",831.74 ,"1,044.60 ","353,355,000.00 ","194,867.00 ","2,839.00 ","7,411.20 ","7,625.10 ","2,283.40 ",,
2021-07,"11,621.00 ","30,183.00 ","1,504.00 ","4,108.00 ",958.79 ,"1,202.00 ","412,410,000.00 ","226,187.00 ","3,018.00 ","8,785.30 ","8,940.30 ","2,632.60 ",,
2021-08,"13,322.10 ","34,636.00 ","1,796.00 ","4,481.00 ","1,101.61 ","1,360.50 ","470,794,000.00 ","259,724.00 ","2,805.00 ","10,145.70 ","10,265.20 ","2,912.60 ",,
2021-09,"14,984.20 ","38,740.00 ","2,018.00 ","4,894.00 ","1,249.33 ","1,518.30 ","526,868,000.00 ","293,059.00 ","3,288.00 ","11,439.30 ","11,553.40 ","3,219.50 ",,
2021-10,"16,618.80 ","42,506.00 ","2,234.00 ","5,289.00 ","1,377.55 ","1,684.30 ","585,152,000.00 ","329,716.00 ","2,694.00 ","12,752.80 ","13,005.40 ","3,528.20 ",,
2021-11,"18,248.40 ","46,684.00 ","2,492.00 ","5,708.00 ","1,526.12 ","1,860.50 ","644,795,000.00 ","367,427.00 ","3,505.00 ","14,103.80 ","14,650.80 ","3,754.60 ",,
2021-12,"19,897.60 ","51,298.00 ","2,712.00 ","6,031.00 ","1,687.38 ","2,052.60 ","703,554,000.00 ","407,136.00 ","3,095.00 ","15,457.30 ","16,337.00 ","3,943.90 ",,
2022-01,0.00 ,"4,880.00 ",257.00 ,405.00 ,156.85 ,0.00 ,0.00 ,0.00 ,"2,416.00 ",0.00 ,0.00 ,0.00 ,,
2022-02,"3,347.40 ","8,514.00 ",464.00 ,729.00 ,276.11 ,372.40 ,"113,014,000.00 ","68,660.00 ","1,123.00 ","2,621.40 ","2,975.70 ",556.30 ,,
2022-03,"5,118.90 ","12,785.00 ",650.00 ,"1,136.00 ",386.77 ,569.50 ,"171,442,000.00 ","108,386.00 ","1,642.00 ","3,993.70 ","4,529.30 ",819.00 ,,
2022-04,"6,818.50 ","17,089.00 ",798.00 ,"1,518.00 ",498.70 ,746.50 ,"223,252,000.00 ","144,778.00 ","2,355.00 ","5,099.20 ","5,956.00 ",994.00 ,,
2022-05,"8,569.00 ","21,671.00 ",998.00 ,"1,845.00 ",624.46 ,923.50 ,"277,161,000.00 ","181,441.00 ","2,055.00 ","6,259.70 ","7,423.70 ","1,146.20 ",,
2022-06,"10,288.50 ","25,252.00 ","1,162.00 ","2,162.00 ",630.00 ,"1,095.80 ","332,218,000.00 ","219,351.00 ","1,898.00 ","7,426.00 ","8,911.10 ","1,357.80 ",,
2022-07,"12,000.30 ","28,984.00 ","1,321.00 ","2,504.00 ",864.62 ,"1,267.00 ","380,267,000.00 ","256,151.00 ","2,352.00 ","8,566.00 ","10,095.90 ","1,605.10 ",,
2022-08,"13,694.40 ","33,018.00 ","1,510.00 ","2,982.00 ",987.42 ,"1,437.10 ","434,891,000.00 ","292,934.00 ","2,946.00 ","9,757.20 ","11,473.40 ","1,891.60 ",,
2022-09,"15,375.30 ","37,041.00 ","1,737.00 ","3,545.00 ","1,128.52 ","1,601.20 ","497,262,000.00 ","331,565.00 ","3,305.00 ","10,956.90 ","13,385.50 ","2,138.20 ",,
2022-10,"17,097.50 ","41,353.00 ","1,991.00 ","3,991.00 ","1,233.83 ","1,784.90 ","555,878,000.00 ","368,540.00 ","2,918.00 ","12,193.10 ","15,268.60 ","2,381.70 ",,
2022-11,"18,777.50 ","46,026.00 ","2,312.00 ","4,601.00 ","1,376.12 ","1,974.00 ","615,991,000.00 ","409,408.00 ","3,231.00 ","13,370.50 ","17,186.10 ","2,681.50 ",,
2022-12,"20,466.70 ","50,828.00 ","2,645.00 ","5,369.00 ","1,519.02 ","2,177.90 ","675,897,000.00 ","449,584.00 ","3,091.00 ","14,535.60 ","19,125.70 ","2,949.10 ",,
2023-01,0.00 ,"4,333.00 ",242.00 ,649.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,148.00 ",0.00 ,0.00 ,0.00 ,,
2023-02,"3,417.41 ","8,406.00 ",531.00 ,"1,270.00 ",249.26 ,397.99 ,"116,066,526.00 ","73,423.00 ","2,917.00 ","2,476.70 ","3,391.90 ",694.50 ,,
2023-03,"5,235.75 ","13,637.00 ",921.00 ,"1,816.00 ",371.92 ,595.18 ,"179,261,315.00 ","115,303.00 ","4,117.00 ","3,809.60 ","5,244.80 ","1,072.90 ",,
