station_code,station_name,ProvinceZH,CityZH,Lon,Lat,对照点,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,keyregion2018
2316A,鳌峰子站,安徽,宣城,118.7581,30.9447,N,FALSE,Anhui,Xuancheng,none,TRUE,FALSE,YRD,17,61,17,Xuancheng,YRD
2315A,平天湖(对照点),安徽,池州,117.4974,30.6539,Y,FALSE,Anhui,Chizhou,none,TRUE,FALSE,YRD,5,168,5,Chizhou,YRD
2314A,池州学院,安徽,池州,117.4697,30.6617,N,FALSE,Anhui,Chizhou,none,TRUE,FALSE,YRD,5,168,5,Chizhou,YRD
2313A,环保大楼(停运160506),安徽,池州,117.4808,30.6414,Y,FALSE,Anhui,Chizhou,none,TRUE,FALSE,YRD,5,168,5,Chizhou,YRD
2312A,三国揽胜宫,安徽,亳州,115.7831,33.8561,N,FALSE,Anhui,Bozhou,neighbor2,FALSE,FALSE,none,3,231,3,Bozhou,
2321A,涵江区六中,福建,莆田,119.1117,25.4556,N,FALSE,Fujian,Putian,none,FALSE,FALSE,none,24,366,24,Putian,
2286A,市公路局,安徽,铜陵,117.8078,30.9222,N,FALSE,Anhui,Tongling,neighbor2,TRUE,FALSE,YRD,15,298,15,Tongling,YRD
2285A,市第四中学,安徽,铜陵,117.8178,30.9414,N,FALSE,Anhui,Tongling,neighbor2,TRUE,FALSE,YRD,15,298,15,Tongling,YRD
2284A,职业技术学院,安徽,淮北,116.7844,33.9461,N,FALSE,Anhui,Huaibei,neighbor2,FALSE,FALSE,none,9,189,9,Huaibei,
2256A,发电厂,黑龙江,佳木斯,130.3961,46.8267,N,FALSE,Heilongjiang,Jiamusi,none,FALSE,FALSE,none,106,115,106,Jiamusi,
2255A,佳纺,黑龙江,佳木斯,130.2719,46.8025,N,FALSE,Heilongjiang,Jiamusi,none,FALSE,FALSE,none,106,115,106,Jiamusi,
2254A,汤旺河国家公园,黑龙江,伊春,129.4942,48.4658,Y,FALSE,Heilongjiang,Yichun,none,FALSE,FALSE,none,113,112,113,Yichun,
2253A,林管局,黑龙江,伊春,128.9094,47.7317,N,FALSE,Heilongjiang,Yichun,none,FALSE,FALSE,none,113,112,113,Yichun,
2252A,中心医院,黑龙江,伊春,128.8736,47.7222,N,FALSE,Heilongjiang,Yichun,none,FALSE,FALSE,none,113,112,113,Yichun,
2251A,苗圃,黑龙江,双鸭山,131.1572,46.5888,Y,FALSE,Heilongjiang,Shuangyashan,none,FALSE,FALSE,none,111,105,111,Shuangyashan,
2250A,环保局,黑龙江,双鸭山,131.1516,46.6462,N,FALSE,Heilongjiang,Shuangyashan,none,FALSE,FALSE,none,111,105,111,Shuangyashan,
2249A,南小市,黑龙江,双鸭山,131.1651,46.619,N,FALSE,Heilongjiang,Shuangyashan,none,FALSE,FALSE,none,111,105,111,Shuangyashan,
2248A,双合村,黑龙江,双鸭山,131.1638,46.6572,N,FALSE,Heilongjiang,Shuangyashan,none,FALSE,FALSE,none,111,105,111,Shuangyashan,
2257A,环保局,黑龙江,佳木斯,130.3258,46.7975,N,FALSE,Heilongjiang,Jiamusi,none,FALSE,FALSE,none,106,115,106,Jiamusi,
2247A,五号水库,黑龙江,鹤岗,130.1097,47.3382,Y,FALSE,Heilongjiang,Hegang,none,FALSE,FALSE,none,104,351,104,Hegang,
2245A,斯达机电,黑龙江,鹤岗,130.261,47.2753,N,FALSE,Heilongjiang,Hegang,none,FALSE,FALSE,none,104,351,104,Hegang,
2244A,哈啤分公司,黑龙江,鹤岗,130.2659,47.3349,N,FALSE,Heilongjiang,Hegang,none,FALSE,FALSE,none,104,351,104,Hegang,
2243A,气象局(对照点),黑龙江,鸡西,130.9298,45.2978,Y,FALSE,Heilongjiang,Jixi,none,FALSE,FALSE,none,107,272,107,Jixi,
2242A,白酒厂,黑龙江,鸡西,131.0103,45.2948,Y,FALSE,Heilongjiang,Jixi,none,FALSE,FALSE,none,107,272,107,Jixi,
2241A,自来水公司,黑龙江,鸡西,130.9817,45.305,Y,FALSE,Heilongjiang,Jixi,none,FALSE,FALSE,none,107,272,107,Jixi,
2240A,环保局,黑龙江,鸡西,130.962,45.2924,N,FALSE,Heilongjiang,Jixi,none,FALSE,FALSE,none,107,272,107,Jixi,
2236A,市环保局,吉林,白城,122.8211,45.6175,N,FALSE,Jilin,Baicheng,none,FALSE,FALSE,none,187,255,187,Baicheng,
2235A,洮北区环保局,吉林,白城,122.8444,45.6289,N,FALSE,Jilin,Baicheng,none,FALSE,FALSE,none,187,255,187,Baicheng,
2234A,江北,吉林,松原,124.8528,45.1642,N,FALSE,Jilin,Songyuan,none,FALSE,FALSE,none,193,194,193,Songyuan,
2246A,东山纸板厂,黑龙江,鹤岗,130.3172,47.3489,N,FALSE,Heilongjiang,Hegang,none,FALSE,FALSE,none,104,351,104,Hegang,
2258A,十一中,黑龙江,佳木斯,130.3648,46.8032,N,FALSE,Heilongjiang,Jiamusi,none,FALSE,FALSE,none,106,115,106,Jiamusi,
2259A,四丰,黑龙江,佳木斯,130.3794,46.7588,Y,FALSE,Heilongjiang,Jiamusi,none,FALSE,FALSE,none,106,115,106,Jiamusi,
2260A,环保局(停运200627),黑龙江,七台河,131.0032,45.7677,Y,FALSE,Heilongjiang,Qitaihe,none,FALSE,FALSE,none,110,24,110,Qitaihe,
2283A,烈山区政府,安徽,淮北,116.8067,33.8997,N,FALSE,Anhui,Huaibei,neighbor2,FALSE,FALSE,none,9,189,9,Huaibei,
2282A,监测站,安徽,淮北,116.8008,33.975,N,FALSE,Anhui,Huaibei,neighbor2,FALSE,FALSE,none,9,189,9,Huaibei,
2281A,焦岗湖风景区管理处,安徽,淮南,116.7039,32.625,Y,FALSE,Anhui,Huainan,neighbor2,FALSE,FALSE,none,10,188,10,Huainan,
2280A,八公山区政府,安徽,淮南,116.8306,32.6319,N,FALSE,Anhui,Huainan,neighbor2,FALSE,FALSE,none,10,188,10,Huainan,
2279A,谢家集区政府,安徽,淮南,116.8556,32.6028,N,FALSE,Anhui,Huainan,neighbor2,FALSE,FALSE,none,10,188,10,Huainan,
2278A,师范学院,安徽,淮南,117.0066,32.6524,N,FALSE,Anhui,Huainan,neighbor2,FALSE,FALSE,none,10,188,10,Huainan,
